FNAME,LANES,Capacity
Collector,1,720
Collector,2,720
Collector,3,720
Collector,4,720
Collector,5,720
Collector,6,720
Div-Arterial,1,850
Div-Arterial,2,850
Div-Arterial,3,853
Div-Arterial,4,855
Div-Arterial,5,855
Div-Arterial,6,855
Limited,1,1970
Limited,2,1970
Limited,3,2027
Limited,4,2055
Limited,5,2072
Limited,6,2083
Limited,7,2083
Limited,8,2083
Limited,9,2083
Limited,10,2083
Tolls,1,1970
Tolls,2,1970
Tolls,3,2027
Tolls,4,2055
Tolls,5,2072
Tolls,6,2083
Tolls,7,2083
Tolls,8,2083
Tolls,9,2083
Undiv-Arterial,1,880
Undiv-Arterial,2,880
Undiv-Arterial,3,880
Undiv-Arterial,4,880
Undiv-Arterial,5,880
Undiv-Arterial,6,880
Limited_Rural,1,1970
Limited_Rural,2,1970
Limited_Rural,3,2027
Limited_Rural,4,2055
Limited_Rural,5,2072
Limited_Rural,6,2083
Limited_Rural,7,2083
Limited_Rural,8,2083
Limited_Rural,9,2083
Limited_Rural,10,2083
Ramps,1,720
Ramps,2,720
Ramps,3,720
Ramps,4,720
Ramps,5,720
Ramps,6,720
