Market,DMA,NextGen_TAZ,share
Airport,1,7656,0.3811681772406848
Airport,1,8237,0.6188318227593153
Airport,2,6429,0.4013377926421405
Airport,2,7812,0.5986622073578596
Airport,3,7536,1
Airport,4,5757,0.45268542199488493
Airport,4,4302,0.5473145780051151
Airport,5,4657,0.9465233020317028
Airport,5,5529,0.0534766979682972
Airport,6,3279,0.10531208136260492
Airport,6,3673,0.894687918637395
Airport,7,2315,0.11556881196437574
Airport,7,2836,0.24004369013611157
Airport,7,1626,0.6443874978995127
Airport,8,1166,0.3497741713235857
Airport,8,3,0.016213733445609738
Airport,8,551,0.5594809768047156
Airport,8,2090,0.07453111842608895
