TAZ,STATE,COUNTY,DMA,STL_Zone,region,CBM_Ext
6132,Florida,Levy,2,88,2_North Central,11553
6212,Florida,Flagler,3,42,3_Northeast,11559
6218,Florida,Flagler,3,42,3_Northeast,11559
6168,Florida,Levy,2,217,2_North Central,11553
6166,Florida,Levy,2,217,2_North Central,11553
6170,Florida,Levy,2,217,2_North Central,11553
6216,Florida,Flagler,3,42,3_Northeast,11559
6417,Florida,Alachua,2,3,2_North Central,11554
6412,Florida,Alachua,2,3,2_North Central,11554
6413,Florida,Alachua,2,3,2_North Central,11554
6415,Florida,Alachua,2,3,2_North Central,11554
6414,Florida,Alachua,2,3,2_North Central,11554
6416,Florida,Alachua,2,3,2_North Central,11554
6219,Florida,Flagler,3,43,3_Northeast,11559
6256,Florida,Putnam,3,134,3_Northeast,11559
6474,Florida,Dixie,2,35,2_North Central,11547
6322,Florida,Alachua,2,1,2_North Central,11553
6471,Florida,Dixie,2,216,2_North Central,11552
6364,Florida,Alachua,2,3,2_North Central,11554
6363,Florida,Alachua,2,3,2_North Central,11554
6278,Florida,Putnam,3,134,3_Northeast,11557
6398,Florida,Alachua,2,1,2_North Central,11554
6411,Florida,Alachua,2,3,2_North Central,11554
6114,Florida,Levy,2,209,2_North Central,11552
6115,Florida,Levy,2,209,2_North Central,11552
6116,Florida,Levy,2,209,2_North Central,11552
6113,Florida,Levy,2,88,2_North Central,11553
6117,Florida,Levy,2,88,2_North Central,11553
6118,Florida,Levy,2,88,2_North Central,11553
6121,Florida,Levy,2,88,2_North Central,11553
6122,Florida,Levy,2,88,2_North Central,11554
6126,Florida,Levy,2,88,2_North Central,11554
6127,Florida,Levy,2,88,2_North Central,11553
6124,Florida,Levy,2,88,2_North Central,11553
6123,Florida,Levy,2,88,2_North Central,11553
6125,Florida,Levy,2,209,2_North Central,11552
6258,Florida,Putnam,3,134,3_Northeast,11557
6175,Florida,Levy,2,217,2_North Central,11552
6287,Florida,Alachua,2,1,2_North Central,11554
6176,Florida,Levy,2,209,2_North Central,11552
6289,Florida,Alachua,2,1,2_North Central,11554
6213,Florida,Flagler,3,42,3_Northeast,11559
6227,Florida,Flagler,3,42,3_Northeast,11559
6290,Florida,Alachua,2,1,2_North Central,11556
6260,Florida,Putnam,3,134,3_Northeast,11557
6293,Florida,Alachua,2,1,2_North Central,11554
6230,Florida,Flagler,3,42,3_Northeast,11559
6295,Florida,Alachua,2,1,2_North Central,11554
6313,Florida,Alachua,2,1,2_North Central,11554
6361,Florida,Alachua,2,3,2_North Central,11554
6362,Florida,Alachua,2,3,2_North Central,11554
6246,Florida,Flagler,3,43,3_Northeast,11559
6339,Florida,Alachua,2,1,2_North Central,11556
