segment_name,VOT,beta_time,beta_cost,distance,axles,pce
heavy,72.5,1.0,0.83,0.90,5,2.5
medium,39.2,1.0,1.53,0.90,3,2.0
light,28.5,1.0,2.11,0.90,2,1.5
LDT_Res_Air,68.0,1.0,0.88,0.90,2,1.0
LDT_Res_Hig,42.4,1.0,1.42,0.90,2,1.0
LDT_Res_Med,9.0,1.0,6.67,0.90,2,1.0
LDT_Vis_Air,34.7,1.0,1.73,0.90,2,1.0
LDT_Vis_Hig,33.0,1.0,1.82,0.90,2,1.0
LDT_Vis_Med,9.0,1.0,6.67,0.90,2,1.0
SDT_Res_Hig,48.0,1.0,1.25,0.90,2,1.0
SDT_Res_Low,10.0,1.0,6.00,0.90,2,1.0
SDT_Res_Med,21.4,1.0,2.80,0.90,2,1.0
SDT_Vis_Hig,37.3,1.0,1.61,0.90,2,1.0
SDT_Vis_Low,7.2,1.0,8.33,0.90,2,1.0
SDT_Vis_Med,19.4,1.0,3.09,0.90,2,1.0
