RemainingLow,RemainingHigh,StopNumber,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0.81602916,0.18397084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,0.935628966,0.064371034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3,0.922286338,0.077713662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,4,0.536518859,0.463481141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0.62738927,0.372294539,0.000316191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,0.602894164,0.397105836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,0.491217028,0.508782972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,0.846798579,0.153201421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,0.393835688,0.55856802,0.047596292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2,0.35170333,0.634353726,0.013942943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0.368405012,0.617962372,0.013632616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0.425638483,0.260205377,0.31415614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,1,0.346379107,0.517852752,0.135665279,0.000102863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2,0.211629553,0.640956318,0.136442187,0.010971942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,3,0.35185103,0.55227845,0.09587052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,0.401453922,0.400034008,0.193636071,0.004875999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0.247403644,0.521312249,0.219180697,0.01210341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2,0.307734279,0.354483141,0.316268312,0.021514267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3,0.244452433,0.410679661,0.31453295,0.030334956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,4,0.288572669,0.528647996,0.182779334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,1,0.259254516,0.417354779,0.260332182,0.040109428,0.022949094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2,0.247526613,0.527031928,0.201661267,0.023433313,0.00034688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,3,0.226689847,0.359422956,0.36900219,0.03968889,0.005196117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,4,0.02450761,0.776284759,0.17731091,0.021896721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,1,0.253180114,0.38091577,0.203501202,0.128831975,0.031697155,0.001873784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
