"Purpose","Duration","DurationLo","DurationHi","Outbound","Inbound","Percent"
1,"0to2",0,2,0,0,0.763466
1,"0to2",0,2,0,1,0.102616
1,"0to2",0,2,0,2,0.028246
1,"0to2",0,2,0,4,0.00199
1,"0to2",0,2,1,0,0.063765
1,"0to2",0,2,1,1,0.010528
1,"0to2",0,2,2,0,0.028265
1,"0to2",0,2,3,0,0.000214
1,"0to2",0,2,4,0,0.00091
1,"12to24",12,24,0,0,0.456261
1,"12to24",12,24,0,1,0.185258
1,"12to24",12,24,0,2,0.077215
1,"12to24",12,24,0,3,0.019724
1,"12to24",12,24,0,4,0.017774
1,"12to24",12,24,1,0,0.077215
1,"12to24",12,24,1,1,0.04345
1,"12to24",12,24,1,2,0.037072
1,"12to24",12,24,1,3,0.010615
1,"12to24",12,24,1,4,0.007755
1,"12to24",12,24,2,0,0.016342
1,"12to24",12,24,2,1,0.007779
1,"12to24",12,24,2,2,0.003606
1,"12to24",12,24,2,3,0.004306
1,"12to24",12,24,2,4,0.002897
1,"12to24",12,24,3,0,0.003435
1,"12to24",12,24,3,1,0.006114
1,"12to24",12,24,3,2,0.000609
1,"12to24",12,24,3,3,0.00691
1,"12to24",12,24,3,4,0.000374
1,"12to24",12,24,4,0,0.008562
1,"12to24",12,24,4,1,0.003002
1,"12to24",12,24,4,2,0.002784
1,"12to24",12,24,4,3,0.000925
1,"12to24",12,24,4,4,0.000016
1,"2to4",2,4,0,0,0.606399
1,"2to4",2,4,0,1,0.116803
1,"2to4",2,4,0,2,0.038365
1,"2to4",2,4,0,3,0.020461
1,"2to4",2,4,0,4,0.013588
1,"2to4",2,4,1,0,0.093985
1,"2to4",2,4,1,1,0.029961
1,"2to4",2,4,1,2,0.016741
1,"2to4",2,4,1,3,0.002978
1,"2to4",2,4,1,4,0.006598
1,"2to4",2,4,2,0,0.020924
1,"2to4",2,4,2,1,0.010806
1,"2to4",2,4,2,2,0.009565
1,"2to4",2,4,2,3,0.001206
1,"2to4",2,4,3,0,0.003143
1,"2to4",2,4,3,1,0.001901
1,"2to4",2,4,4,0,0.006576
1,"4to8",4,8,0,0,0.58846
1,"4to8",4,8,0,1,0.123641
1,"4to8",4,8,0,2,0.042869
1,"4to8",4,8,0,3,0.014145
1,"4to8",4,8,0,4,0.014695
1,"4to8",4,8,1,0,0.06614
1,"4to8",4,8,1,1,0.046544
1,"4to8",4,8,1,2,0.016888
1,"4to8",4,8,1,3,0.004289
1,"4to8",4,8,1,4,0.009252
1,"4to8",4,8,2,0,0.02125
1,"4to8",4,8,2,1,0.007128
1,"4to8",4,8,2,2,0.004284
1,"4to8",4,8,2,3,0.000719
1,"4to8",4,8,2,4,0.000997
1,"4to8",4,8,3,0,0.007313
1,"4to8",4,8,3,1,0.00332
1,"4to8",4,8,3,2,0.005827
1,"4to8",4,8,3,3,0.000797
1,"4to8",4,8,3,4,0.000641
1,"4to8",4,8,4,0,0.010695
1,"4to8",4,8,4,1,0.008824
1,"4to8",4,8,4,2,0.001236
1,"4to8",4,8,4,3,0.000046
1,"8to12",8,12,0,0,0.617439
1,"8to12",8,12,0,1,0.137913
1,"8to12",8,12,0,2,0.037482
1,"8to12",8,12,0,3,0.011433
1,"8to12",8,12,0,4,0.009227
1,"8to12",8,12,1,0,0.064427
1,"8to12",8,12,1,1,0.056159
1,"8to12",8,12,1,2,0.012609
1,"8to12",8,12,1,3,0.005124
1,"8to12",8,12,1,4,0.003803
1,"8to12",8,12,2,0,0.014107
1,"8to12",8,12,2,1,0.009734
1,"8to12",8,12,2,2,0.003295
1,"8to12",8,12,2,3,0.00149
1,"8to12",8,12,2,4,0.001235
1,"8to12",8,12,3,0,0.003643
1,"8to12",8,12,3,1,0.00159
1,"8to12",8,12,3,2,0.000715
1,"8to12",8,12,3,3,0.000125
1,"8to12",8,12,3,4,0.000279
1,"8to12",8,12,4,0,0.003792
1,"8to12",8,12,4,1,0.001464
1,"8to12",8,12,4,2,0.002053
1,"8to12",8,12,4,3,0.000727
1,"8to12",8,12,4,4,0.000135
2,"0to2",0,2,0,0,0.837021
2,"0to2",0,2,0,1,0.055514
2,"0to2",0,2,0,2,0.018802
2,"0to2",0,2,0,3,0.01804
2,"0to2",0,2,1,0,0.044198
2,"0to2",0,2,1,1,0.011662
2,"0to2",0,2,1,2,0.004361
2,"0to2",0,2,2,0,0.00259
2,"0to2",0,2,2,1,0.007812
2,"0to2",0,2,3,0,0
2,"12to24",12,24,0,0,0.266715
2,"12to24",12,24,0,1,0.180715
2,"12to24",12,24,0,2,0.013299
2,"12to24",12,24,0,4,0.034544
2,"12to24",12,24,1,0,0.096098
2,"12to24",12,24,1,1,0.020868
2,"12to24",12,24,1,2,0.059225
2,"12to24",12,24,1,3,0.008898
2,"12to24",12,24,2,0,0.027787
2,"12to24",12,24,2,3,0.013933
2,"12to24",12,24,2,4,0.028383
2,"12to24",12,24,3,0,0.223498
2,"12to24",12,24,3,1,0.009341
2,"12to24",12,24,4,1,0.013571
2,"12to24",12,24,4,2,0.003125
2,"2to4",2,4,0,0,0.749324
2,"2to4",2,4,0,1,0.089314
2,"2to4",2,4,0,2,0.033044
2,"2to4",2,4,0,3,0.015242
2,"2to4",2,4,0,4,0.006645
2,"2to4",2,4,1,0,0.057013
2,"2to4",2,4,1,1,0.033704
2,"2to4",2,4,1,2,0.000293
2,"2to4",2,4,2,0,0.004966
2,"2to4",2,4,2,3,0.002788
2,"2to4",2,4,3,0,0.002529
2,"2to4",2,4,3,2,0.000313
2,"2to4",2,4,4,0,0.004825
2,"4to8",4,8,0,0,0.614485
2,"4to8",4,8,0,1,0.114438
2,"4to8",4,8,0,2,0.06667
2,"4to8",4,8,0,3,0.015434
2,"4to8",4,8,0,4,0.012326
2,"4to8",4,8,1,0,0.050469
2,"4to8",4,8,1,1,0.062285
2,"4to8",4,8,1,2,0.001874
2,"4to8",4,8,1,3,0.006479
2,"4to8",4,8,1,4,0.005489
2,"4to8",4,8,2,0,0.014788
2,"4to8",4,8,2,1,0.022758
2,"4to8",4,8,2,2,0.003999
2,"4to8",4,8,2,3,0.000309
2,"4to8",4,8,3,0,0.001269
2,"4to8",4,8,3,1,0.002417
2,"4to8",4,8,3,2,0.00154
2,"4to8",4,8,4,0,0.001746
2,"4to8",4,8,4,1,0.000096
2,"4to8",4,8,4,3,0.001129
2,"8to12",8,12,0,0,0.602054
2,"8to12",8,12,0,1,0.156666
2,"8to12",8,12,0,2,0.042986
2,"8to12",8,12,0,3,0.011192
2,"8to12",8,12,0,4,0.000017
2,"8to12",8,12,1,0,0.039563
2,"8to12",8,12,1,1,0.027301
2,"8to12",8,12,1,2,0.007252
2,"8to12",8,12,1,3,0.017712
2,"8to12",8,12,1,4,0.003143
2,"8to12",8,12,2,0,0.007704
2,"8to12",8,12,2,1,0.029642
2,"8to12",8,12,2,2,0.001505
2,"8to12",8,12,2,3,0.024493
2,"8to12",8,12,2,4,0.000176
2,"8to12",8,12,3,0,0.015219
2,"8to12",8,12,3,1,0.001879
2,"8to12",8,12,3,2,0.001171
2,"8to12",8,12,4,1,0.007349
2,"8to12",8,12,4,2,0.000174
2,"8to12",8,12,4,4,0.002802
3,"0to2",0,2,0,0,0.893469
3,"0to2",0,2,0,1,0.048884
3,"0to2",0,2,1,0,0.006079
3,"0to2",0,2,1,1,0.051568
3,"12to24",12,24,0,0,0.241741
3,"12to24",12,24,0,1,0.475336
3,"12to24",12,24,0,2,0.186748
