Work,Recreate,Shop,Eatout,Percent
0,0,0,1,0.024045262
0,0,0,2,0.001414427
0,0,1,0,0.070721358
0,0,1,1,0.036775106
0,0,1,2,0.002828854
0,0,2,0,0.01980198
0,0,2,1,0.001414427
0,0,3,0,0.001414427
0,1,0,0,0.299858557
0,1,0,1,0.18387553
0,1,0,2,0.011315417
0,1,1,0,0.100424328
0,1,1,1,0.018387553
0,1,2,0,0.011315417
0,1,2,1,0.001414427
0,2,0,0,0.118811881
0,2,0,1,0.045261669
0,2,0,2,0.001414427
0,2,1,0,0.025459689
0,2,1,1,0.002828854
0,2,1,2,0.001414427
0,3,0,0,0.007072136
0,3,0,1,0.002828854
0,3,1,0,0.002828854
1,0,0,0,0.004243281
1,0,0,1,0.001414427
1,0,1,0,0.001414427
