alt,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm,body_type_num_coded,fuel_type_num_coded,logged_models,logged_makes
1,2017,39,738,24,0,32926.61346,20.17,388.85,1,3,6.605297921,3.688879454
2,2016,39,734,23.7,0,33383.61537,20.32822785,392.27,1,3,6.599870499,3.688879454
3,2015,39,740,23.4,0,33369.12233,20.49051282,398.43,1,3,6.608000625,3.688879454
4,2014,41,717,23.2,0,32571.33539,20.60103448,402.86,1,3,6.576469569,3.737669618
5,2013,40,702,23.1,0,32976.62731,20.65701299,402.94,1,3,6.555356892,3.713572067
6,2012,42,668,22.4,0,32959.56219,21.06285714,417.59,1,3,6.50578406,3.761200116
7,2011,42,617,21.7,0,34409.88113,21.49488479,428.48,1,3,6.426488457,3.761200116
8,2010,44,641,21.5,0,35279.71318,21.62348837,434.37,1,3,6.464588304,3.80666249
9,2009,45,637,21,0,35638.52401,21.95571429,444.46,1,3,6.458338283,3.828641396
10,2008,46,649,20.5,0,35745.78309,22.30414634,454.02,1,3,6.476972363,3.850147602
11,2007,43,594,20.3,0,37613.76774,22.44832512,454.23,1,3,6.388561406,3.784189634
12,2006,43,595,20.2,0,38581.65596,22.52148515,456.18,1,3,6.390240667,3.784189634
13,2005,41,661,20.4,0,37537.36453,22.37588235,452.05,1,3,6.495265556,3.737669618
14,2004,43,628,20.6,0,37988.14511,22.2331068,445.25,1,3,6.444131257,3.784189634
15,2003,42,573,20.5,0,37597.37624,22.30414634,450.5,1,3,6.352629396,3.761200116
16,2002,42,543,20.8,0,37380.8733,22.09307692,439.76,1,3,6.298949247,3.761200116
17,2001,39,505,21,0,37361.09207,21.95571429,437.72,1,3,6.226536669,3.688879454
18,2000,39,473,21,0,38856.86312,21.95571429,437.7,1,3,6.161207322,3.688879454
19,1999,40,483,21.2,0,38447.21363,21.8209434,435.35,1,3,6.182084907,3.713572067
20,1998,42,464,21.3,0,38952.55256,21.75450704,433.86,1,3,6.142037406,3.761200116
21,2017,3,9,35.2,0,38787.1746,16.19272727,290,1,2,2.302585093,1.386294361
22,2016,2,8,31.4,0,39325.51763,17.22414013,325.13,1,2,2.197224577,1.098612289
23,2015,4,23,32.8,0,39308.445,16.81634146,311.57,1,2,3.17805383,1.609437912
24,2014,4,20,31.5,0,38368.66109,17.19380952,322.3,1,2,3.044522438,1.609437912
25,2013,2,12,31.8,0,38846.09034,17.10396226,319.17,1,2,2.564949357,1.098612289
26,2012,2,8,32.3,0,38825.98783,16.9579257,314.55,1,2,2.197224577,1.098612289
27,2011,3,8,31.4,0,40534.44697,17.22414013,324.25,1,2,2.197224577,1.386294361
28,2010,3,8,31.4,0,41559.0992,17.22414013,324.25,1,2,2.197224577,1.386294361
