TAZ,Work_0,Work_1,Work_2,Work_3,Work_4,University,School,Escort,Maintenance,Discretionary,AtWork
1,7.48471,6.28976,4.05411,1.41665,1.11897,0,0,0,0,0,0
2,7.28164,5.99859,3.85629,1.19218,0.72787,3.61112,5.03206,0,0,0,0
3,8.87338,7.53492,5.08649,2.74336,2.15683,0,3.51193,0,0,0,0
4,8.57761,7.06662,4.81396,2.41563,1.86675,2.64742,3.4228,0,0,0,0
5,9.6275,7.78285,5.33918,2.92965,2.84224,0,0,0,0,0,0
6,7.60342,6.43652,4.17013,1.75651,1.41797,0,4.88569,0,0,0,0
7,7.78785,6.68281,4.42074,1.92884,1.41667,0,0,0,0,0,0
8,7.14116,6.32011,3.89056,1.73314,1.12785,3.75348,3.44176,0,0,0,0
9,9.82606,7.23903,5.46753,3.0589,2.03631,0,0,0,0,0,0
10,0,0,5.07316,0,2.66536,0,0,0,0,0,0
11,8.94797,7.41781,5.01413,2.5861,2.27677,2.81927,0,0,0,0,0
12,7.85651,6.84929,4.54334,2.30549,1.5674,0,0,0,0,0,0
13,8.39733,7.51128,5.23703,2.76821,2.43808,3.89597,4.12361,0,0,0,0
14,0,-0.56899,0,3.25056,2.55751,0,0,0,0,0,0
15,8.2498,7.14242,4.82551,2.54881,1.9738,3.04487,3.45873,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
18,9.01191,7.38165,5.00864,2.45993,1.84071,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0
20,0,8.15448,5.43269,3.5327,2.06174,0,0,0,0,0,0
21,0,0,0,-1.09695,0,0,0,0,0,0,0
22,0,5.67453,3.41707,3.09872,3.21093,0,0,0,0,0,0
23,0,0,0,2.77818,2.87511,0,0,0,0,0,0
24,0,0,0.2465,-1.2089,1.81034,0,0,0,0,0,0
25,0,8.77567,4.5089,2.53702,2.12542,0,0,0,0,0,0
26,0,-0.40703,0,1.77793,1.88156,0,0,0,0,0,0
27,0,0,0.95732,0,1.28978,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,9.32147,6.45263,3.05338,1.34532,0.94253,0,0,0,0,0,0
31,9.16168,6.68074,3.50388,1.39988,1.10677,0,0,0,0,0,0
32,5.78954,6.70182,4.03693,2.07306,1.99974,0,0,0,0,0,0
33,9.19386,6.49602,3.55455,1.21518,0.97131,1.91792,0,0,0,0,0
34,9.70013,7.69165,5.20988,2.68377,1.76694,0,0,0,0,0,0
35,8.18817,6.82647,3.58915,1.98119,0.89967,0,0,0,0,0,0
36,7.50449,6.10183,2.80644,0.52099,-0.20606,0.1379,-2.46232,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
38,0,7.9672,4.49158,2.48234,2.15023,0,0,0,0,0,0
39,5.10359,8.00948,3.98097,1.64848,0.85455,0,0,0,0,0,0
40,7.56797,7.4729,4.51358,2.5402,2.28233,0,0,0,0,0,0
41,0,0,3.10664,1.34396,0,0,0,0,0,0,0
42,9.45953,7.83051,4.56968,2.33167,1.7422,1.39908,0.57024,0,0,0,0
43,0,2.65379,4.62255,0.40586,2.09983,0,0,0,0,0,0
44,0,7.09659,3.87142,0.92777,1.35068,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
47,0,-0.89367,0,-0.42612,0.32951,0,0,0,0,0,0
48,0,0,1.96642,0,3.08085,0,0,0,0,0,0
49,6.92521,5.3008,1.87438,-0.14571,-0.62063,-0.38119,0,0,0,0,0
50,8.23755,7.36385,4.38357,1.93747,1.72769,0,0,0,0,0,0
51,0,0,0,1.88945,1.41057,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0
