STARTTIME,O,D,heavy,light,medium
1:00,2,43,0.0000,0.0000,33.7000
1:00,18,93,2.4814,0.0000,0.0000
1:00,21,17,0.0922,0.0000,0.0000
1:00,21,23,0.0000,0.0000,0.0749
1:00,23,40,0.0065,0.0000,0.0000
1:00,43,218,0.0000,0.0000,1.7658
1:00,47,60,7.9976,0.0000,0.0000
1:00,49,36,1.7869,0.0000,0.0000
1:00,122,310,23.6281,0.0000,0.0000
1:00,122,1184,2.7759,0.0000,0.0000
1:00,123,129,21.1882,0.0000,0.0000
1:00,128,176,3.9809,0.0000,0.0000
1:00,128,195,0.0000,0.0000,5.8296
1:00,129,135,4.3549,0.0000,0.0000
1:00,132,175,5.0987,0.0000,0.0000
1:00,137,158,0.2659,0.0000,0.0000
1:00,149,179,0.4065,0.0000,0.0000
1:00,160,143,0.0000,0.0000,3.2937
1:00,160,167,0.2694,0.0000,0.0000
1:00,160,193,140.1777,0.0000,0.0000
1:00,176,250,0.0000,0.0000,0.1779
1:00,178,287,0.0429,0.0000,0.0000
1:00,179,122,2.8218,0.0000,0.0000
1:00,189,174,0.0539,0.0000,0.0000
1:00,193,328,0.0000,0.0300,0.0000
1:00,202,250,0.4549,0.0000,0.0000
1:00,206,218,9.2736,0.0000,0.0000
1:00,213,261,0.4288,0.0000,0.0000
1:00,220,261,0.0000,49.6369,0.0000
1:00,227,125,1.3494,0.0000,0.0000
1:00,245,129,0.1777,0.0000,0.0000
1:00,245,655,0.0183,0.0000,0.0000
1:00,250,195,3.3172,0.0000,0.0000
1:00,250,266,23.9368,0.0000,0.0000
1:00,254,265,0.0000,0.0000,10.4364
1:00,256,268,0.3811,0.0000,0.0000
1:00,256,1254,87.2244,0.0000,0.0000
1:00,260,178,0.0000,0.0732,0.0000
1:00,260,1156,19.1107,0.0000,0.0000
1:00,260,1161,0.0000,0.0000,13.1528
1:00,260,1175,28.6642,0.0000,0.0000
1:00,266,736,0.0913,0.0000,0.0000
1:00,280,569,5.6531,0.0000,0.0000
1:00,280,834,170.5776,0.0000,0.0000
1:00,284,298,0.0321,0.0000,0.0000
1:00,291,568,22.7096,0.0000,0.0000
1:00,293,353,3.9050,0.0000,0.0000
1:00,298,246,4.8724,0.0000,0.0000
1:00,298,629,0.1598,0.0000,0.0000
1:00,301,767,1.6411,0.0000,0.0000
1:00,305,774,0.0000,17.3237,0.0000
1:00,310,1172,10.8311,0.0000,0.0000
1:00,315,246,11.9850,0.0000,0.0000
1:00,315,298,0.0000,1.5913,0.0000
1:00,315,767,0.0000,0.0000,3.0458
1:00,317,532,0.0071,0.0000,0.0000
1:00,328,280,1.2565,0.0000,0.0000
1:00,328,551,0.0000,0.0000,0.7900
1:00,328,744,0.0000,0.0000,0.1021
1:00,335,689,0.0000,0.0000,10.7173
1:00,335,691,13.7525,0.0000,0.0000
1:00,351,349,0.0107,0.0000,0.0000
1:00,353,628,5.6357,0.0000,0.0000
1:00,365,2082,13.6181,0.0000,0.0000
1:00,368,310,95.3129,0.0000,0.0000
1:00,371,532,0.0211,0.0000,0.0000
1:00,371,549,0.0000,0.0000,0.0239
1:00,371,745,0.0000,3.2236,0.0000
1:00,373,333,0.0000,7.7174,0.0000
1:00,373,578,6.7721,0.0000,0.0000
1:00,381,744,0.0138,0.0000,0.0000
1:00,400,503,0.0000,0.0000,37.0819
1:00,400,568,9.0259,0.0000,0.0000
1:00,413,559,1.3004,0.0000,0.0000
1:00,413,757,4.7936,0.0000,0.0000
1:00,424,587,0.1770,0.0000,0.0000
1:00,425,318,0.0000,0.0000,6.8724
1:00,425,337,0.0000,7.9300,0.0000
1:00,425,548,5.4130,0.0000,0.0000
1:00,425,597,0.0000,0.0000,0.2097
1:00,437,642,3.9071,0.0000,0.0000
1:00,437,647,0.0000,0.0313,0.0000
1:00,437,807,0.0902,0.0000,0.0000
1:00,445,505,0.2178,0.0000,0.0000
1:00,456,432,0.0000,0.5496,0.0000
1:00,464,317,0.0000,0.0000,5.8587
1:00,464,353,0.0000,8.5052,0.0000
1:00,464,545,0.0000,0.3317,0.0000
1:00,464,573,0.1728,0.0000,0.0000
1:00,464,750,0.6210,0.0000,0.0000
1:00,464,1044,0.0000,0.0000,0.1985
1:00,466,256,0.6445,0.0000,0.0000
1:00,466,599,0.1510,0.0000,0.0000
1:00,470,506,0.0000,0.0292,0.0000
1:00,475,735,0.0058,0.0000,0.0000
1:00,479,655,0.9097,0.0000,0.0000
1:00,479,698,1.6198,0.0000,0.0000
1:00,482,345,0.0000,0.0000,3.7460
1:00,482,1156,0.1778,0.0000,0.0000
1:00,486,337,0.0000,6.5368,0.0000
1:00,491,561,0.0000,0.0000,0.0200
1:00,496,1170,8.4891,0.0000,0.0000
1:00,500,511,0.0067,0.0000,0.0000
1:00,500,630,0.0000,0.3581,0.0000
1:00,501,511,0.0000,15.7417,0.0000
1:00,501,518,3.0660,0.0000,0.0000
1:00,501,571,0.0000,0.8278,0.0000
1:00,501,715,9.5280,0.0000,0.0000
1:00,501,746,0.1824,0.0000,0.0000
1:00,503,574,0.0000,1.4837,0.0000
1:00,503,766,0.0162,0.0000,0.0000
1:00,506,561,0.1756,0.0000,0.0000
1:00,507,500,88.3737,0.0000,0.0000
1:00,507,738,0.0000,0.0000,3.7687
1:00,507,848,6.2584,0.0000,0.0000
1:00,507,1297,3.6908,0.0000,0.0000
1:00,514,305,1.9693,0.0000,0.0000
1:00,514,590,61.7275,0.0000,0.0000
1:00,515,571,0.1284,0.0000,0.0000
1:00,516,739,0.0383,0.0000,0.0000
1:00,517,1023,0.0000,0.3102,0.0000
1:00,518,546,0.0000,0.4118,0.0000
1:00,518,590,0.0000,0.0000,96.3184
1:00,521,774,0.0000,0.0000,15.5892
1:00,522,546,0.2140,0.0000,0.0000
1:00,523,568,2.0615,0.0000,0.0000
1:00,523,594,0.8760,0.0000,0.0000
1:00,524,328,0.0188,0.0000,0.0000
1:00,524,353,0.0000,0.9060,0.0000
1:00,524,1034,1.6849,0.0000,0.0000
1:00,529,505,0.0000,0.0000,0.0214
1:00,529,514,0.0000,0.0000,0.0013
1:00,529,603,0.0188,0.0000,0.0000
1:00,529,766,0.0000,0.0000,0.0021
1:00,533,659,1.1483,0.0000,0.0000
1:00,535,524,0.0000,0.0000,0.6466
1:00,535,651,5.9408,0.0000,0.0000
1:00,536,571,0.9150,0.0000,0.0000
1:00,536,729,1.8922,0.0000,0.0000
1:00,538,658,0.0000,0.0000,0.0786
1:00,541,333,0.3145,0.0000,0.0000
1:00,541,753,0.0831,0.0000,0.0000
1:00,542,1009,3.5289,0.0000,0.0000
1:00,548,504,0.0058,0.0000,0.0000
1:00,549,1034,0.0000,0.0000,3.7293
1:00,552,597,0.0000,12.8966,0.0000
1:00,552,698,3.5050,0.0000,0.0000
1:00,552,727,6.2669,0.0000,0.0000
1:00,552,1267,5.7635,0.0000,0.0000
1:00,555,261,4.4038,0.0000,0.0000
1:00,555,516,0.0000,0.0000,1.2224
1:00,555,580,0.0000,0.0000,9.7401
1:00,555,640,12.5092,0.0000,0.0000
1:00,556,848,0.2867,0.0000,0.0000
1:00,557,642,0.0000,0.0000,0.2498
1:00,561,1034,0.0000,2.8763,0.0000
1:00,564,870,0.0215,0.0000,0.0000
1:00,565,503,48.0667,0.0000,0.0000
1:00,568,328,31.0961,0.0000,0.0000
1:00,568,551,35.8553,0.0000,0.0000
1:00,569,631,8.2691,0.0000,0.0000
1:00,569,1040,0.0000,0.0000,0.2179
1:00,570,500,0.0000,0.0644,0.0000
1:00,570,524,0.2568,0.0000,0.0000
1:00,570,573,0.4173,0.0000,0.0000
1:00,570,784,0.0596,0.0000,0.0000
1:00,571,639,0.0000,2.4870,0.0000
1:00,571,689,13.2825,0.0000,0.0000
1:00,572,583,0.2247,0.0000,0.0000
1:00,572,645,0.0042,0.0000,0.0000
1:00,572,672,0.0000,0.0000,0.0107
1:00,572,863,0.0000,0.0000,0.7866
1:00,573,349,0.0000,0.0034,0.0000
1:00,579,642,0.0000,0.0000,0.0042
1:00,580,500,0.0000,0.0000,65.0882
1:00,580,647,13.5039,0.0000,0.0000
1:00,583,384,0.6421,0.0000,0.0000
1:00,583,618,0.0195,0.0000,0.0000
1:00,584,718,0.0000,0.0000,7.1376
1:00,585,552,0.0000,0.0000,94.3090
1:00,587,501,0.3465,0.0000,0.0000
1:00,587,740,5.7300,0.0000,0.0000
1:00,590,563,0.0073,0.0000,0.0000
1:00,594,1089,0.0000,5.9936,0.0000
1:00,595,245,0.5062,0.0000,0.0000
1:00,595,832,0.7166,0.0000,0.0000
1:00,596,748,1.5743,0.0000,0.0000
1:00,596,1027,0.0000,0.0000,0.0958
1:00,598,774,0.6242,0.0000,0.0000
1:00,599,545,0.0000,0.3689,0.0000
1:00,599,628,0.0000,21.1432,0.0000
1:00,599,799,1.3354,0.0000,0.0000
1:00,601,652,0.0000,0.0856,0.0000
1:00,601,793,0.2728,0.0000,0.0000
1:00,603,515,17.5104,0.0000,0.0000
1:00,603,616,0.0000,3.5530,0.0000
1:00,603,797,0.0063,0.0000,0.0000
1:00,607,782,4.4582,0.0000,0.0000
1:00,607,807,6.2146,0.0000,0.0000
1:00,616,407,0.5939,0.0000,0.0000
1:00,617,639,0.0214,0.0000,0.0000
1:00,618,576,0.0290,0.0000,0.0000
1:00,618,642,0.2461,0.0000,0.0000
1:00,621,783,0.0117,0.0000,0.0000
1:00,621,799,0.0000,0.0793,0.0000
1:00,624,794,0.0115,0.0000,0.0000
1:00,625,761,6.5356,0.0000,0.0000
1:00,628,551,53.4867,0.0000,0.0000
1:00,629,260,8.0809,0.0000,0.0000
1:00,629,799,0.0000,2.9904,0.0000
1:00,629,1018,2.9000,0.0000,0.0000
1:00,629,1033,3.6694,0.0000,0.0000
1:00,631,425,0.5218,0.0000,0.0000
1:00,631,641,0.0000,0.0000,13.2936
1:00,636,521,0.0000,0.0000,14.9407
1:00,640,564,0.0000,0.0000,0.3424
1:00,640,630,10.2841,0.0000,0.0000
1:00,640,718,39.5634,0.0000,0.0000
1:00,641,511,0.0000,0.0000,0.0016
1:00,641,572,0.0984,0.0000,0.0000
1:00,645,505,6.3426,0.0000,0.0000
1:00,646,674,0.0000,0.0000,33.7501
1:00,646,718,0.0000,0.0000,1.7918
1:00,647,674,0.0019,0.0000,0.0000
1:00,647,848,0.0080,0.0000,0.0000
1:00,651,246,0.4299,0.0000,0.0000
1:00,651,359,2.1134,0.0000,0.0000
1:00,651,425,0.0000,0.0000,5.1772
1:00,656,503,0.0000,0.0000,0.2774
1:00,656,1009,9.4238,0.0000,0.0000
1:00,659,780,0.0000,0.8809,0.0000
1:00,666,570,17.2111,0.0000,0.0000
1:00,666,1089,6.7743,0.0000,0.0000
1:00,667,819,1.1675,0.0000,0.0000
1:00,668,647,0.1766,0.0000,0.0000
1:00,669,757,0.0000,0.0000,0.0112
1:00,669,799,0.0000,0.2598,0.0000
1:00,671,656,0.0000,0.3397,0.0000
1:00,671,869,0.0000,0.0000,6.6457
1:00,672,829,5.2677,0.0000,0.0000
1:00,672,846,0.0000,0.0000,4.5651
1:00,673,260,0.8692,0.0000,0.0000
1:00,673,542,0.0000,0.0000,3.9090
1:00,673,718,6.1525,0.0000,0.0000
1:00,674,556,0.1042,0.0000,0.0000
1:00,676,736,38.4986,0.0000,0.0000
1:00,676,784,5.5704,0.0000,0.0000
1:00,679,123,0.9866,0.0000,0.0000
1:00,679,141,6.2586,0.0000,0.0000
1:00,679,149,1.1108,0.0000,0.0000
1:00,679,160,3.9506,0.0000,0.0000
1:00,679,646,7.0150,0.0000,0.0000
1:00,679,729,0.0000,0.0000,1.9219
1:00,679,1172,0.7168,0.0000,0.0000
1:00,679,1176,4.8586,0.0000,0.0000
